Cidade;Latitude;Longitude
Adamantina;-21.682;-51.0737
Adolfo;-21.2325;-49.6451
Aguaí;-22.0572;-46.9735
Agudos;-22.4694;-48.9863
Alambari;-23.5503;-47.898
Alfredo Marcondes;-21.9527;-51.414
Altair;-20.5242;-49.0571
Altinópolis;-21.0214;-47.3712
Alto Alegre;-21.5811;-50.168
Alumínio;-23.5306;-47.2546
Alvinlândia;-22.4435;-49.7623
Americana;-22.7374;-47.3331
Amparo;-22.7088;-46.772
Américo Brasiliense;-21.7288;-48.1147
Américo de Campos;-20.2985;-49.7359
Analândia;-22.1289;-47.6619
Andradina;-20.8948;-51.3786
Angatuba;-23.4917;-48.4139
Anhembi;-22.793;-48.1336
Anhumas;-22.2934;-51.3895
Aparecida;-22.8495;-45.2325
Aparecida d'Oeste;-20.4487;-50.8835
Apiaí;-24.5108;-48.8443
Aramina;-20.0882;-47.7873
Arandu;-23.1386;-49.0487
Arapeí;-22.6717;-44.4441
Araraquara;-21.7845;-48.178
Araras;-22.3572;-47.3842
Araçariguama;-23.4366;-47.0608
Araçatuba;-21.2076;-50.4401
Araçoiaba da Serra;-23.5029;-47.6166
Arco-Íris;-21.7728;-50.466
Arealva;-22.031;-48.9135
Areias;-22.5786;-44.6992
Areiópolis;-22.6672;-48.6681
Ariranha;-21.1872;-48.7904
Artur Nogueira;-22.5727;-47.1727
Arujá;-23.3965;-46.32
Aspásia;-20.16;-50.728
Assis;-22.66;-50.4183
Atibaia;-23.1171;-46.5563
Auriflama;-20.6836;-50.5572
Avanhandava;-21.4584;-49.9509
Avaré;-23.1067;-48.9251
Avaí;-22.1514;-49.3356
Bady Bassitt;-20.9197;-49.4385
Balbinos;-21.8963;-49.3619
Bananal;-22.6819;-44.3281
Barbosa;-21.2657;-49.9518
Bariri;-22.073;-48.7438
Barra Bonita;-22.4909;-48.5583
Barra do Chapéu;-24.4722;-49.0238
Barra do Turvo;-24.759;-48.5013
Barretos;-20.5531;-48.5698
Barrinha;-21.1864;-48.1636
Barueri;-23.5057;-46.879
Barão de Antonina;-23.6284;-49.5634
Bastos;-21.921;-50.7357
Batatais;-20.8929;-47.5921
Bauru;-22.3246;-49.0871
Bebedouro;-20.9491;-48.4791
Bento de Abreu;-21.2686;-50.814
Bernardino de Campos;-23.0164;-49.4679
Bertioga;-23.8486;-46.1396
Bilac;-21.404;-50.4746
Birigui;-21.291;-50.3432
Biritiba-Mirim;-23.5698;-46.0407
Boa Esperança do Sul;-21.9918;-48.3906
Bocaina;-22.1365;-48.523
Bofete;-23.1055;-48.2582
Boituva;-23.2855;-47.6786
Bom Jesus dos Perdões;-23.1356;-46.4675
Bom Sucesso de Itararé;-24.3155;-49.1451
Boracéia;-22.1926;-48.7808
Borborema;-21.6214;-49.0741
Borebi;-22.5728;-48.9707
Borá;-22.2696;-50.5409
Botucatu;-22.8837;-48.4437
Bragança Paulista;-22.9527;-46.5419
Braúna;-21.499;-50.3175
Brejo Alegre;-21.1651;-50.1861
Brodowski;-20.9845;-47.6572
Brotas;-22.2795;-48.1251
Buri;-23.7977;-48.5958
Buritama;-21.0661;-50.1475
Buritizal;-20.1911;-47.7096
Bálsamo;-20.7348;-49.5865
Cabreúva;-23.3053;-47.1362
Cabrália Paulista;-22.4576;-49.3393
Cachoeira Paulista;-22.6665;-45.0154
Caconde;-21.528;-46.6437
Cafelândia;-21.8031;-49.6092
Caiabu;-22.0127;-51.2394
Caieiras;-23.3607;-46.7397
Caiuá;-21.8322;-51.9969
Cajamar;-23.355;-46.8781
Cajati;-24.7324;-48.1223
Cajobi;-20.8773;-48.8063
Cajuru;-21.2749;-47.303
Campina do Monte Alegre;-23.5895;-48.4758
Campinas;-22.9053;-47.0659
Campo Limpo Paulista;-23.2078;-46.7889
Campos Novos Paulista;-22.602;-49.9987
Campos do Jordão;-22.7296;-45.5833
Cananéia;-25.0144;-47.9341
Canas;-22.7003;-45.0521
Canitar;-23.004;-49.7839
Capela do Alto;-23.4685;-47.7388
Capivari;-22.9951;-47.5071
Capão Bonito;-24.0113;-48.3482
Caraguatatuba;-23.6125;-45.4125
Carapicuíba;-23.5235;-46.8407
Cardoso;-20.08;-49.9183
Casa Branca;-21.7708;-47.0852
Castilho;-20.8689;-51.4884
Catanduva;-21.1314;-48.977
Catiguá;-21.0519;-49.0616
Caçapava;-23.0992;-45.7076
Cedral;-20.9009;-49.2664
Cerqueira César;-23.038;-49.1655
Cerquilho;-23.1665;-47.7459
Cesário Lange;-23.226;-47.9545
Charqueada;-22.5096;-47.7755
Chavantes;-23.0366;-49.7096
Clementina;-21.5604;-50.4525
Colina;-20.7114;-48.5387
Colômbia;-20.1768;-48.6865
Conchal;-22.3375;-47.1729
Conchas;-23.0154;-48.0134
Cordeirópolis;-22.4778;-47.4519
Coroados;-21.3521;-50.2859
Coronel Macedo;-23.6261;-49.31
Corumbataí;-22.2213;-47.6215
Cosmorama;-20.4755;-49.7827
Cosmópolis;-22.6419;-47.1926
Cotia;-23.6022;-46.919
Cravinhos;-21.338;-47.7324
Cristais Paulista;-20.4036;-47.4209
Cruzeiro;-22.5728;-44.969
Cruzália;-22.7373;-50.7909
Cubatão;-23.8911;-46.424
Cunha;-23.0731;-44.9576
Cássia dos Coqueiros;-21.2801;-47.1643
Cândido Mota;-22.7471;-50.3873
Cândido Rodrigues;-21.3275;-48.6327
Descalvado;-21.9002;-47.6181
Diadema;-23.6813;-46.6205
Dirce Reis;-20.4642;-50.6073
Divinolândia;-21.6637;-46.7361
Dobrada;-21.5155;-48.3935
Dois Córregos;-22.3673;-48.3819
Dolcinópolis;-20.124;-50.5149
Dourado;-22.1044;-48.3178
Dracena;-21.4843;-51.535
Duartina;-22.4146;-49.4084
Dumont;-21.2324;-47.9756
Echaporã;-22.4326;-50.2038
Eldorado;-24.5281;-48.1141
Elias Fausto;-23.0428;-47.3682
Elisiário;-21.1678;-49.1146
Embaúba;-20.9796;-48.8325
Embu das Artes;-23.6437;-46.8579
Embu-Guaçu;-23.8297;-46.8136
Emilianópolis;-21.8314;-51.4832
Engenheiro Coelho;-22.4836;-47.211
Espírito Santo do Pinhal;-22.1909;-46.7477
Espírito Santo do Turvo;-22.6925;-49.4341
Estiva Gerbi;-22.2713;-46.9481
Estrela d'Oeste;-20.2875;-50.4049
Estrela do Norte;-22.4859;-51.6632
Euclides da Cunha Paulista;-22.5545;-52.5928
Fartura;-23.3916;-49.5124
Fernando Prestes;-21.2661;-48.6874
Fernandópolis;-20.2806;-50.2471
Fernão;-22.3607;-49.5187
Ferraz de Vasconcelos;-23.5411;-46.371
Flora Rica;-21.6727;-51.3821
Floreal;-20.6752;-50.1513
Florínia;-22.868;-50.6814
Flórida Paulista;-21.6127;-51.1724
Franca;-20.5352;-47.4039
Francisco Morato;-23.2792;-46.7448
Franco da Rocha;-23.3229;-46.729
Gabriel Monteiro;-21.5294;-50.5573
Garça;-22.2125;-49.6546
Gastão Vidigal;-20.7948;-50.1912
Gavião Peixoto;-21.8367;-48.4957
General Salgado;-20.6485;-50.364
Getulina;-21.7961;-49.9312
Glicério;-21.3812;-50.2123
Guaimbê;-21.9091;-49.8986
Guaiçara;-21.6195;-49.8013
Guapiara;-24.1892;-48.5295
Guapiaçu;-20.7959;-49.2172
Guaraci;-20.4977;-48.9391
Guarani d'Oeste;-20.0746;-50.3411
Guarantã;-21.8942;-49.5914
Guararapes;-21.2544;-50.6453
Guararema;-23.4112;-46.0369
Guaratinguetá;-22.8075;-45.1938
Guaraçaí;-21.0292;-51.2119
Guareí;-23.3714;-48.1837
Guariba;-21.3594;-48.2316
Guarujá;-23.9888;-46.258
Guarulhos;-23.4538;-46.5333
Guará;-20.4302;-47.8236
Guatapará;-21.4944;-48.0356
Guaíra;-20.3196;-48.312
Guzolândia;-20.6467;-50.6645
Gália;-22.2918;-49.5504
Herculândia;-22.0038;-50.3907
Holambra;-22.6405;-47.0487
Hortolândia;-22.8529;-47.2143
Iacanga;-21.8896;-49.031
Iacri;-21.8572;-50.6932
Iaras;-22.8682;-49.1634
Ibaté;-21.9584;-47.9882
Ibirarema;-22.8185;-50.0739
Ibirá;-21.083;-49.2448
Ibitinga;-21.7562;-48.8319
Ibiúna;-23.6596;-47.223
Icém;-20.3391;-49.1915
Iepê;-22.6602;-51.0779
Igarapava;-20.0407;-47.7466
Igaratá;-23.2037;-46.157
Igaraçu do Tietê;-22.509;-48.5597
Iguape;-24.699;-47.5537
Ilha Comprida;-24.7307;-47.5383
Ilha Solteira;-20.4326;-51.3426
Ilhabela;-23.7785;-45.3552
Indaiatuba;-23.0816;-47.2101
Indiana;-22.1738;-51.2555
Indiaporã;-19.979;-50.2909
Inúbia Paulista;-21.7695;-50.9633
Ipaussu;-23.0575;-49.6279
Iperó;-23.3513;-47.6927
Ipeúna;-22.4355;-47.7151
Ipiguá;-20.6557;-49.3842
Iporanga;-24.5847;-48.5971
Ipuã;-20.4438;-48.0129
Iracemápolis;-22.5832;-47.523
Irapuru;-21.5684;-51.3472
Irapuã;-21.2768;-49.4164
Itaberá;-23.8638;-49.14
Itajobi;-21.3123;-49.0629
Itaju;-21.9857;-48.8116
Itanhaém;-24.1736;-46.788
Itapecerica da Serra;-23.7161;-46.8572
Itapetininga;-23.5886;-48.0483
Itapeva;-23.9788;-48.8764
Itapevi;-23.5488;-46.9327
Itapira;-22.4357;-46.8224
Itapirapuã Paulista;-24.572;-49.1661
Itaporanga;-23.7043;-49.4819
Itapura;-20.6419;-51.5063
Itapuí;-22.2324;-48.7197
Itaquaquecetuba;-23.4835;-46.3457
Itararé;-24.1085;-49.3352
Itariri;-24.2834;-47.1736
Itatiba;-23.0035;-46.8464
Itatinga;-23.1047;-48.6157
Itaí;-23.4213;-49.092
Itaóca;-24.6393;-48.8413
Itirapina;-22.2562;-47.8166
Itirapuã;-20.6416;-47.2194
Itobi;-21.7309;-46.9743
Itu;-23.2544;-47.2927
Itupeva;-23.1526;-47.0593
Ituverava;-20.3355;-47.7902
Itápolis;-21.5942;-48.8149
Jaborandi;-20.6884;-48.4112
Jaboticabal;-21.252;-48.3252
Jacareí;-23.2983;-45.9658
Jaci;-20.8805;-49.5797
Jacupiranga;-24.6963;-48.0064
Jaguariúna;-22.7037;-46.9851
Jales;-20.2672;-50.5494
Jambeiro;-23.2522;-45.6942
Jandira;-23.5275;-46.9023
Jardinópolis;-21.0176;-47.7606
Jarinu;-23.1039;-46.728
Jaú;-22.2936;-48.5592
Jeriquara;-20.3116;-47.5918
Joanópolis;-22.927;-46.2741
José Bonifácio;-21.0551;-49.6892
João Ramalho;-22.2473;-50.7694
Jumirim;-23.0884;-47.7868
Jundiaí;-23.1852;-46.8974
